Quarter,Year,Total_Revenue_Millions,North_America_Revenue_Millions,International_Revenue_Millions,AWS_Revenue_Millions,Operating_Income_Millions,Net_Income_Millions,Operating_Margin_Percent,North_America_OpIncome_Millions,International_OpIncome_Millions,AWS_OpIncome_Millions,North_America_Growth_YoY_Percent,International_Growth_YoY_Percent,AWS_Growth_YoY_Percent,Product_Sales_Millions,Service_Sales_Millions,Operating_Cash_Flow_Millions,Free_Cash_Flow_Millions,EPS_Diluted
Q1,2025,155700,92900,33500,29300,18400,17100,11.8,5800,1000,11500,8,8,17,62000,93700,113900,25900,1.59
Q2,2025,162410,94700,35700,31900,16200,13100,10.0,5100,900,10200,10,9,18,64000,98410,N/A,N/A,1.21
Q3,2025,180200,106300,40900,33000,17400,15000,9.7,6500,1100,10800,11,14,20,74000,106200,N/A,N/A,1.38
Q4,2025,213400,127100,50700,35600,25000,21200,11.7,12300,1700,12500,10,17,24,80000,133400,139500,N/A,1.95
Q1,2024,143300,92900,33500,28800,15300,10400,10.7,5000,900,9400,12,20,16,N/A,N/A,99100,50100,0.98
Q2,2024,148500,92400,35700,26900,14600,11700,9.8,4500,800,8900,11,25,11,N/A,N/A,N/A,N/A,1.08
Q3,2024,158900,95500,36400,27500,17400,14200,11.0,5600,1100,10900,14,16,9,N/A,N/A,N/A,N/A,1.31
Q4,2024,187800,115600,43400,28800,21200,20000,11.3,7900,1000,10600,10,8,19,80000,107800,N/A,N/A,1.86
Full Year,2025,716900,426300,161900,128700,80000,77700,11.2,29600,4700,45600,10,13,20,296000,420900,139500,N/A,7.17
Full Year,2024,638000,387500,142900,107600,68600,59200,10.7,25000,3800,39800,N/A,N/A,N/A,N/A,N/A,115900,84900,5.53
Q1,2023,116800,81100,27800,23900,15300,3200,13.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.65
Q2,2023,127360,84200,28700,24200,10100,2500,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.51
Q3,2023,143085,82300,31400,22600,16600,9500,11.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.95
Q4,2023,170000,105200,36200,24100,13200,10600,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.00
Full Year,2023,557200,353300,124400,94700,30400,2600,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84900,36800,2.90
